customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
5084-AJBNQ,1,67,63.55,3068.6,Female,No,No,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Two year,No,Mailed check,No
8994-GQERF,0,62,59.7,875.35,Female,Yes,No,Yes,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,No
8018-RTKAO,0,27,56.3,57.5,Female,Yes,No,Yes,No,DSL,Yes,No internet service,No,Yes,Yes,No,Two year,Yes,Electronic check,No
2146-FBEZL,0,72,105.05,6885.75,Male,No,No,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No internet service,Month-to-month,Yes,Electronic check,No
4114-CPQCZ,1,45,60.05,1672.1,Female,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),Yes
6130-HHFPR,0,67,90.8,7362.9,Female,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Mailed check,No
7879-WKKTT,0,1,81.25,99.95,Male,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,Yes
6947-EVEIS,0,72,73.8,411.45,Female,Yes,Yes,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),No
6608-KQFKO,0,57,95.85,1028.9,Male,Yes,No,Yes,Yes,DSL,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,No
5372-AZWIM,0,40,84.9,80.0,Female,No,No,Yes,Yes,DSL,No,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,No
9026-QEWLM,1,1,69.65,4016.3,Female,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,Yes
1587-NCXAW,0,1,20.25,2954.5,Male,No,Yes,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Electronic check,No
6424-SSKNO,1,61,107.9,1222.8,Male,No,No,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,No
2402-LZFYU,0,39,80.3,4874.7,Female,Yes,No,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No,No,One year,Yes,Electronic check,No
4296-PCONJ,1,66,60.6,220.75,Female,No,No,No,No,DSL,Yes,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),No
3502-TQUGF,1,32,35.35,6375.2,Female,No,Yes,Yes,No phone service,No,No internet service,Yes,No,No internet service,No,Yes,Month-to-month,No,Electronic check,No
0441-ZTFQY,0,43,19.85,5774.55,Female,Yes,No,Yes,Yes,DSL,Yes,No internet service,No,No,No,No internet service,One year,Yes,Electronic check,No
2867-YEQDN,0,1,86.6,2230.85,Male,No,No,Yes,No phone service,DSL,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Electronic check,No
5492-WTIPV,0,30,95.0,7854.15,Male,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,No
3208-OKYLV,0,1,60.3,1266.4,Female,No,Yes,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes
6148-OZURT,1,66,53.55,5435.6,Female,No,No,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,No,Month-to-month,No,Electronic check,No
8401-EYGUZ,0,23,93.8,320.45,Female,Yes,No,Yes,Yes,DSL,No,No internet service,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),Yes
8955-RYNYN,0,9,20.0,19.3,Male,No,Yes,Yes,No,No,No internet service,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),No
5543-JYWGC,0,33,19.6,241.3,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,No
4273-ULMZS,0,30,25.1,7853.7,Male,No,Yes,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No internet service,Two year,Yes,Electronic check,No
